Participant,Event Duration [ms],Visual Intake Position X [px],Visual Intake Position Y [px],Visual Intake Average Pupil Size X [px],Visual Intake Average Pupil Size Y [px],Visual Intake Average Pupil Diameter [mm],Visual Intake Dispersion X [px],Visual Intake Dispersion Y [px],Label
calvin (1),99.3,-146.7,2835.7,79.8,63.7,4.6,287.6,179.9,B
calvin (1),82.8,-642.6,3264.3,81.2,64.6,4.8,379.2,301.9,B
calvin (1),66.6,110.8,2694,83.5,64.5,4.8,222.1,78.9,B
calvin (1),83,65.7,2785.8,83,65.8,4.8,239,121.9,B
calvin (1),182.5,-373.5,3073.7,83.3,66,4.8,71.6,44.2,B
calvin (1),99.3,-1350.3,3886.6,82.4,65,4.7,241.3,203.3,B
calvin (1),83.1,175.2,181.3,81.4,80.2,4.4,10.5,18.1,B
calvin (1),116.2,346.8,1096.1,78.9,76,4.4,36.3,89.1,B
calvin (1),99.5,355.3,2827,78.7,72.3,4.5,288.5,64.7,B
calvin (1),199.1,268.1,128.9,76.3,71.5,4.2,19.5,27.1,B
calvin (1),66.8,1020.8,3340.1,70.5,66.5,4,275.5,426,B
calvin (1),182.7,595.3,2887.1,70,64.7,4,197.5,91.4,B
calvin (1),82.8,426.5,515.2,68.3,65.3,3.8,14.5,123.6,B
calvin (1),132.8,435.3,487.7,68.3,64.5,3.8,10.1,162,B
calvin (1),166.3,289.1,163,69.7,66.5,3.9,59,75.2,B
calvin (1),199,-226.6,-657,70.3,67.3,3.9,63.5,123.9,B
calvin (1),663.7,253.7,110.9,67.9,64.9,3.8,43.8,55.3,B
calvin (1),82.9,-41.4,-349.7,67.2,64.4,3.7,55,96.4,B
calvin (1),182.5,-23.4,-316.4,67.1,63.7,3.7,13.5,24.5,B
calvin (1),481.3,246.9,101.4,68.1,64.6,3.8,26.7,34.5,B
calvin (1),879.5,318.3,197.3,69.3,65.8,3.8,37.2,50.7,B
calvin (1),116.2,389.1,379.2,76.7,76.6,4.4,8,33.3,B
calvin (1),331.9,162.2,52.1,75,73,4.2,92,94.6,B
calvin (1),116.6,380.8,307.5,72,70.6,4,9.2,24.7,B
calvin (1),99.7,364,364.7,72.8,71.5,4,28.8,52.2,B
calvin (1),149.7,146.2,-12.5,75.1,71.2,4.2,96.9,133.9,B
calvin (1),83,-405.7,-1018.3,73.2,69,4,74.5,156.6,B
calvin (1),348.8,245.3,98,71.8,67.4,4,27.8,34.8,B
calvin (1),215.4,-9.8,-283.3,71.2,66.3,4,35.5,59.8,B
calvin (1),249.2,284.9,141.1,69.7,65.1,3.9,29.2,37.4,B
calvin (1),215.7,-18.9,-312.2,68.8,63.2,3.8,21.2,36.8,B
calvin (1),564,379.5,246.6,70.7,65.2,3.9,19.9,31.8,B
calvin (1),99.6,290.4,112.3,73.2,67,4.1,7.9,10.6,B
calvin (1),132.9,411.7,261.9,72.9,67.4,4.2,17.8,31.8,B
calvin (1),398.6,436.8,379.6,73.4,67.3,4.2,32.3,151.6,B
calvin (1),564,300.5,160.5,76.1,71,4.2,50.4,61.2,B
calvin (1),249,403.4,293.8,76.4,71.7,4.2,8.1,14.6,B
calvin (1),282.2,402.5,265.7,76.4,71.4,4.2,67.2,88.8,B
calvin (1),630.8,370.9,245.2,75.7,71.1,4.2,50.6,47.3,B
calvin (1),531.1,368.3,261.4,74.8,70.5,4.1,28.4,35.6,B
calvin (1),697.4,404.9,307.6,76.6,72.4,4.3,39.7,80.2,B
calvin (1),132.7,-113,-482.4,78.1,73.3,4.4,125.4,241.3,B
calvin (1),166.1,428.8,355.2,78.7,74.2,4.4,21.7,41.8,B
calvin (1),166,421.1,950.6,78.8,75.2,4.5,52.1,275.9,B
calvin (1),497.6,374.3,245.6,79.8,75.1,4.5,37.7,47,B
calvin (1),581.1,291.7,138.5,77.2,72.7,4.3,141,178.7,B
calvin (1),232,268.3,97.5,74.1,69.1,4.1,19.1,25.2,B
calvin (1),398.2,18.5,-247.6,70.6,66.7,4,98.3,162.4,B
calvin (1),232.6,172.8,-21.5,72,67.4,4.1,25.3,38.9,B
calvin (1),564.1,224.6,38.3,75.4,69.8,4.2,45.3,61.5,B
calvin (1),232.1,118.3,-99.7,75.2,69.6,4.2,34.4,49.4,B
calvin (1),597.5,231.2,49.6,74.9,69.7,4.2,47.1,66.6,B
calvin (1),282.1,136.4,-68.5,74.6,69.4,4.2,16.7,21.3,B
calvin (1),198.9,257.4,88.8,73.5,68.6,4.1,30.9,44.2,B
calvin (1),132.8,645.7,458.9,75.5,61.8,4.3,27.5,52.6,B
calvin (1),116.2,595.1,339,75.9,61.9,4.3,10.9,20.1,B
calvin (1),66.5,1982.3,1501,74,57,4.5,46.6,52.4,B
calvin (1),99.3,2122.6,1354,74.8,58,4.5,185.3,154.9,B
