Participant,Event Duration [ms],Saccade Start Position X [px],Saccade Start Position Y [px],Saccade End Position X [px],Saccade End Position Y [px],Saccade Amplitude [°],Saccade Acceleration Average [°/s²],Saccade Acceleration Peak [°/s²],Saccade Deceleration Peak [°/s²],Saccade Velocity Average [°/s],Saccade Velocity Peak [°/s],Saccade Peak Velocity at [%],Label
calvin (1),49.6,232.3,135.6,282.4,194,0.7,9687.3,15330.1,0.7,92.5,240,32.8,N
calvin (1),49.8,259.7,147.9,174.3,45.6,1.1,10036.9,16752.3,1006.9,122.9,282.9,34.2,N
calvin (1),49.8,179.1,50.1,287.7,177.7,1.5,18042.5,27081.9,1.2,155,452.5,33.5,N
calvin (1),116.4,254.2,185,30.3,-127.7,2.4,16500,44209.3,2963.1,202.9,770.5,28.9,N
calvin (1),49.7,66.9,-80.6,195.6,90.6,1.2,25177.1,39765,326.4,217,602.2,32.4,N
calvin (1),50.1,192.5,81.4,63.6,-86.9,1,23382.6,34268.2,3850,210.7,577.9,33.3,N
calvin (1),50,57.3,-101.4,204.1,93.7,0.7,19640.5,34961.8,11.3,241.8,535.4,33.3,N
calvin (1),49.8,193.1,78.7,143.9,14.8,0.5,11561.6,19837.6,28.6,126,283.1,33,N
calvin (1),49.9,109.1,-42.2,173.7,41.5,0.6,14636.3,23146.3,1782.1,138.7,341.4,33.5,N
calvin (1),66.6,166,29.3,94.6,-71.2,0.7,6874.5,13294.3,1858.1,105.4,218.5,50.6,N
calvin (1),66,99,-65.8,-6.8,-225.7,0.7,16731.7,34124.7,5.8,147.7,543.4,50.1,N
calvin (1),50,18.9,-192,118.2,-39.5,0.7,21880.6,34441.8,271.7,193,532.3,33.9,N
calvin (1),49.8,58.2,-139.5,229.5,95.3,1.5,32447,48897.7,2246.7,286.7,810.9,33.3,N
calvin (1),49.6,52.7,-179.7,1.3,-272.4,0.5,8694.8,13612.2,24.5,115.8,259.2,33.5,N
calvin (1),182.3,448.1,106.9,233,-0.2,9.9,10527.1,30411.8,327.8,153.7,461,18.1,N
calvin (1),66.9,397,231.6,488.5,355.6,1.5,13020.7,27711.3,268.6,139,429.9,49.6,N
calvin (1),49.7,436.1,289.4,511.7,372.7,1.6,15546.4,23793.7,8.7,140.6,357.1,33.3,N
calvin (1),66.1,473.4,327.2,565.7,477.6,2.3,14929.2,30462.5,1.4,136.9,487.4,50,N
calvin (1),49.9,491.7,354.4,440.8,287.4,1.4,2286.6,6351,249.7,117.1,118.5,0,N
calvin (1),49.6,408.1,250.7,365.7,183.4,0.6,9020.1,14196.1,33.5,81.8,226.4,33.6,N
calvin (1),630.5,429.1,449.2,447.1,36.8,20,175886.4,1786130.6,19.1,2349.9,23150.5,73.7,N
calvin (1),663.8,511.4,147.5,579.7,2903.8,14.4,296881.5,4656633.4,93.2,4437.2,39554.4,60,N
calvin (1),1543.4,926.6,3231.6,567.6,556.6,16.7,772494.3,18568895.2,6,9279.3,157516.7,44.1,N
calvin (1),3302.4,585.2,427.1,625.4,2922.1,15.7,291535.6,7514524.6,3.6,4433,86905.7,72.9,N
calvin (1),182.4,172.5,67.6,-231.3,-482.7,3.3,38805.3,171879.8,168.5,371.3,2886,18.1,N
calvin (1),66.5,-299.5,-575.7,-188.8,-389.7,0.4,10809.2,20109.4,228.1,206.4,360,49.7,N
calvin (1),614.1,0.8,-117.4,342.3,-53.9,19.9,545703.7,3195633.2,436.4,7219.2,33319.3,56.7,N
calvin (1),49.9,350.9,282.3,285.3,194.6,1.4,11093.1,15923.1,1483.7,111.5,285.7,32.9,N
calvin (1),50,288.4,185.7,332.3,234.1,1,2741.2,6199.1,95.7,61.6,105.8,33.4,N
calvin (1),66.3,360.8,267.4,285.1,170.4,1.4,6267.7,11907.6,3.2,85,219.3,50.5,N
calvin (1),49.2,308.4,191.9,335.2,223.2,1,4093.5,6342.2,167.1,74.4,110.1,33.3,N
calvin (1),66.4,319.9,194,85.4,-116.8,2.6,22062.3,43274.2,6.6,269.4,753.6,50.3,N
calvin (1),82.9,85.1,-122.4,330.2,202,3,24614,58293,2.4,250.8,983.9,40.3,N
calvin (1),82.8,110.1,-58.4,224.8,89.8,1.3,13882.8,23372.8,8437.1,171.6,369.6,40.5,N
calvin (1),66.2,165.4,-4.7,-103.6,-419.2,1.7,38472.5,80822.3,937.8,474.5,1147.1,49.7,N
calvin (1),714.1,77.8,-120.9,207.5,67.9,1.3,7569438.3,144577306.3,5.2,82950.4,1547283.4,46.5,N
calvin (1),50,142.6,-29,228.9,87.6,1,7963.8,15108.1,1835.1,139.6,260.8,32.7,N
calvin (1),978.7,238,93.1,582,452.5,15,453767.3,3541511,18.3,5974.7,35349.9,84.8,N
calvin (1),49.2,323,242.4,377.1,331.3,1.6,10001.3,15548,54.4,107.2,271.8,33.8,N
calvin (1),83.1,372.1,353.3,103.6,-26.2,4.3,18342.6,43269.8,1740.7,267.3,771.6,39.8,N
calvin (1),66.2,90.3,-62.6,265.5,163.4,1.9,12386.3,24981,37.3,143.1,407.9,49.6,N
calvin (1),49.8,216.8,111.9,250.8,145.6,0.5,1982.2,3059.3,707.1,47.1,91.3,66.7,N
calvin (1),66.7,229.5,114.7,343,258.9,1.6,11783.9,21715.4,1.5,153.9,362.6,25.3,N
calvin (1),66.2,357.9,264.3,214.5,87.8,2.5,13287.8,27135,61,164.4,468.8,50.5,N
calvin (1),66.6,367,355.8,161,73.4,3.5,20223.6,37834.8,2055.7,245.9,685.7,50.2,N
calvin (1),66.3,427.3,115.8,626.7,511.1,4.9,28464.9,48109.3,2894.2,366.6,800.6,25.6,N
calvin (1),730.4,598.8,379.5,476.1,322,7.2,2485863,47241826.4,292.7,30085.9,496543,70.4,N
calvin (1),116.3,512.1,360.6,401.7,59.8,7.5,14283.2,36376.1,7.5,189.7,631.9,28.8,N
calvin (1),99.4,408,99,111.8,-222.8,8.4,43381.2,127920.2,98.8,467.6,1904.1,32.9,N
calvin (1),50,199.1,-89.9,410,240.3,1.8,42695.8,64449.8,11123.6,419.3,1060.1,33.5,N
calvin (1),49.8,151.6,-182.8,388,201.6,1.8,49916.9,81430.7,3622,474.6,1178.5,32.9,N
